Data,Numero,Valor,Descricao,Placa,KM,Fornecedor,Motorista,Histórico,Categoria
,105943,401.0,ETANOL HIDRATADO COMB MOTOR SEMICOMPL,66QW1U5,12532,,,,
,123906,459.0,ETANOL HIDRATADO COMB MOTOR,97OP0I5,13046,,,,
,152624,393.0,ETANOL HIDRATADO COMB,28FY9O5,13296,,,,
,152484,179.0,ETANOL HIDRATADO COMB MOTOR,31FD0Z0,12574,,,,
,98097,448.0,ETANOL HIDRATADO COMB,71HD6X7,12221,,,,
,132444,276.0,ETANOL HIDRATADO COMB,36CG9X3,12848,,,,
,121063,76.0,ETANOL HIDRATADO,66VO4Z1,13678,,,,
,150793,194.0,ETANOL HIDRATADO,62UL9K5,13802,,,,
,117963,338.0,ETANOL HIDRATADO,62EZ3H7,12330,,,,
,119046,208.0,ETANOL HIDRATADO COMB MOTOR,26JJ1S6,13366,,,,
,98285,339.0,ETANOL HIDRATADO COMB,41AT7W9,13576,,,,
,106424,340.0,ETANOL HIDRATADO COMB MOTOR SEMICOMPL,35OS1X3,13053,,,,
,115012,374.0,ETANOL HIDRATADO COMB MOTOR SEMICOMPL,45EY6P7,12404,,,,
,139497,378.0,ETANOL HIDRATADO COMB,56NR8J3,12725,,,,
,126817,384.0,ETANOL HIDRATADO COMB MOTOR,54QI1L7,12542,,,,
,104247,305.0,ETANOL HIDRATADO COMB MOTOR,69HI8B5,12926,,,,
,153935,327.0,ETANOL,63XD8T6,13579,,,,
,95943,68.0,ETANOL HIDRATADO COMB MOTOR,11JN6Q5,12001,,,,
,107818,430.0,ETANOL HIDRATADO COMB,86KW7K1,13520,,,,
,136066,450.0,ETANOL,27QT5L9,12553,,,,
,130799,44.0,ETANOL,66SX1O4,12385,,,,
,104978,352.0,ETANOL HIDRATADO,72OC4C0,12904,,,,
,141290,479.0,ETANOL HIDRATADO COMB,67ER2A2,13146,,,,
,119227,91.0,ETANOL HIDRATADO,15OS7S6,13666,,,,
,142268,360.0,ETANOL HIDRATADO,55UA6Z2,12676,,,,
,107605,126.0,ETANOL HIDRATADO COMB MOTOR SEMICOMPL,05JH4U8,12412,,,,
,156095,450.0,ETANOL HIDRATADO COMB MOTOR SEMICOMPL,17ZW5I3,12274,,,,
,149565,371.0,ETANOL HIDRATADO COMB,92AU1P4,13758,,,,
,125853,37.0,ETANOL HIDRATADO,53LF5E3,13428,,,,
,153778,449.0,ETANOL HIDRATADO COMB,17EC9Q3,13863,,,,
,114986,110.0,ETANOL HIDRATADO COMB,78KB4O3,13827,,,,
,149132,493.0,ETANOL HIDRATADO,84UP3E3,12811,,,,
,134624,466.0,ETANOL HIDRATADO,78GM0N0,12854,,,,
,159123,380.0,ETANOL HIDRATADO COMB,15AU4T7,13264,,,,
,119793,372.0,ETANOL HIDRATADO COMB,61VK8O6,12527,,,,
,91163,41.0,ETANOL HIDRATADO COMB,24YV8W9,12706,,,,
,96739,329.0,ETANOL HIDRATADO COMB,48EX1V2,13678,,,,
,159006,141.0,ETANOL HIDRATADO COMB MOTOR,84BY7G6,12926,,,,
,135100,50.0,ETANOL HIDRATADO COMB MOTOR,98QV8F2,13462,,,,
,116923,390.0,ETANOL HIDRATADO,27WJ2T3,12680,,,,
,129030,387.0,ETANOL HIDRATADO COMB MOTOR,85VV8H2,12101,,,,
,154188,289.0,ETANOL HIDRATADO COMB,29QT7V5,13147,,,,
,124996,385.0,ETANOL HIDRATADO COMB MOTOR SEMICOMPL,13DL6T7,13134,,,,
,158746,234.0,ETANOL HIDRATADO,68RG4K4,12491,,,,
,108049,414.0,ETANOL HIDRATADO COMB,12YK2O3,12014,,,,
06/05/2025,918671,241.89,ETANOL HIDRATADO COMB.,SVD6D88,,AUTO POSTO CASTELINHO DE AVARE LTDA,Carlos,,
06/05/2025,150175,195.31,ETANOL HIDRATADO COMB.,GBX2G51,121568,AUTO POSTO BIZUNGA LT,Mylena,,
06/05/2025,922952,217.83,ETANOL HIDRATADO COMB.,GBX2G51,122099,AUTO POSTO CASTELINHO DE AVARE LTDA,Mylena,,
06/05/2025,922729,221.12,ETANOL HIDRATADO COMB.,FED9247,189583,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,
06/05/2025,921178,182.27,ETANOL HIDRATADO COMB.,FED9247,189203,AUTO POSTO CASTELINHO DE AVARE LTDA,Luiz,,
21/03/2025,115013,15990.0,MOTOR SEMICOMPL,FED9247,187084,VIA MARCONI VEICULOS LTDA,Luiz,,
